away_team,home_team,market_spread,spread_odds,away_ml,home_ml,total
Colgate,Florida,27.5,-105,OFF,-115,155.5
UMass Lowell,Boston University,3.5,-105,164,-115,145.5
Charleston,Northern Kentucky,3.5,-105,142,-115,150.5
Pittsburgh,Penn State,-1.5,102,-115,-122,147.5
Lehigh,Monmouth,9.5,-108,400,-112,141.5
Quinnipiac,Hofstra,6.5,-110,225,-110,146.5
Southern,Baylor,26.5,-105,OFF,-115,167.5
Vanderbilt,Wake Forest,-4.5,-115,-218,-105,162.5
Ole Miss,NC State,6.5,-105,245,-115,146.5
Stony Brook,Marist,4.5,-108,160,-112,139.5
Murray State,Valparaiso,-5.5,-115,-250,-105,155.5
Southern Illinois,Bradley,6.5,-112,210,-108,148.5
Presbyterian,Manhattan,-1.5,-112,-130,-108,139.5
Charleston Southern,Furman,10.5,-108,455,-112,154.5
UIC,Charlotte,2.5,-110,124,-110,139.5
Maine,Drexel,10.5,-108,455,-112,128.5
Loyola Maryland,George Mason,23.5,-102,3000,-118,146.5
Central Arkansas,SMU,22.5,-105,OFF,-115,156.5
Purdue Fort Wayne,Notre Dame,12.5,-105,700,-115,147.5
Cal State Fullerton,Oklahoma State,20.5,-108,1300,-112,178.5
Kennesaw State,Alabama,21.5,-105,1600,-115,181.5
VMI,Radford,10.5,-110,400,-110,158.5
Cornell,Albany,-5.5,-115,-238,-105,165.5
Chattanooga,Alabama A&M,-2.5,-110,-142,-110,137.5
Gardner-Webb,Tennessee,41.5,-105,OFF,-115,152.5
UNC Asheville,UAB,13.5,-105,850,-115,151.5
UMBC,South Florida,21.5,-108,2000,-112,156.5
Northern Arizona,Incarnate Word,6.5,-115,245,-105,142.5
Oregon State,Arizona State,12.5,-105,625,-110,147.5
Oregon,Gonzaga,12.5,-112,410,-108,158.5
